"id","address","raw_state","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2111047596,,VIC,VIC,"0",,2025-11-01 00:37:45.712,2025-11-21 03:16:52.032,1,14,26754172,2025-11-01 00:41:40.888,false
2111052888,,MO,MO,"0",,2025-11-01 00:37:59.947,2025-11-02 03:09:51.398,2,234,28366803,,false
2111063472,,IN,IN,"0",,2025-11-01 00:39:25.005,2025-11-18 19:24:44.683,2,234,24993332,,false
2111074056,,NSW,NSW,"0",,2025-11-01 00:40:26.076,2025-11-10 03:28:16.125,2,14,70265547,,false
2111089932,,UT,UT,"0",,2025-11-01 00:44:41.247,2025-11-01 00:46:42.611,2,234,23436248,,false
2111095224,,NSW,NSW,"0",,2025-11-01 00:44:44.665,2025-11-07 00:22:10.465,2,14,1489914,2025-11-07 00:24:43.602,true
2111100516,,VIC,VIC,"0",,2025-11-01 00:44:47.904,2025-11-01 00:44:47.969,2,14,36529155,,false
2111105808,,NSW,NSW,"0",,2025-11-01 00:44:52.827,2025-11-01 01:05:12.322,2,14,969408,,true
2111111100,,VIC,VIC,"0",,2025-11-01 00:44:55.034,2025-11-21 03:13:55.932,2,14,45721682,2025-11-01 00:58:07.130,false
2111116392,,จ.นคาปฐม,จ.นคาปฐม,"0",,2025-11-01 00:44:57.096,2025-11-01 01:44:43.100,2,217,100912845,2025-11-01 00:49:06.830,false
2111126976,,NSW,NSW,"0",,2025-11-01 00:45:57.382,2025-11-11 01:56:54.962,2,14,116042784,,false
2111137560,,CA,CA,"0",,2025-11-01 00:47:47.310,2025-11-01 00:47:47.408,2,234,12973041,,false
2111148144,,VIC,VIC,"0",,2025-11-01 00:48:10.875,2025-11-17 02:56:02.264,2,14,2125680,2025-11-17 02:55:21.656,false
2111153436,,WESTERN DIVISION,WESTERN DIVISION,"0",-,2025-11-01 00:48:18.889,2025-11-12 22:03:03.881,2,74,58353842,2023-10-24 11:04:05.617,false
2111158728,,ENGLAND,ENGLAND,"0",,2025-11-01 00:48:28.779,2025-11-01 16:51:40.553,2,232,90459837,2025-11-01 01:14:00.740,false
2111164020,,QLD,QLD,"0",,2025-11-01 00:48:55.029,2025-11-05 04:25:01.780,2,14,622280,2025-11-05 03:20:21.906,false
2111169312,,SA,SA,"0",,2025-11-01 00:49:01.069,2025-11-01 00:58:10.029,2,14,523260,,true
2111179896,,VIC,VIC,"0",,2025-11-01 00:49:47.332,2025-11-01 00:49:47.653,2,14,409450,,false
2111190480,,VIC,VIC,"0",,2025-11-01 00:51:55.492,2025-11-07 02:19:02.356,3,14,4220505,2025-11-01 08:19:06.885,false
2111216940,,ACT,ACT,"0",,2025-11-01 00:55:22.149,2025-11-02 21:19:51.300,2,14,590470,,false
2111222232,,NSW,NSW,"0",,2025-11-01 00:55:46.754,2025-11-01 00:55:46.889,2,14,21044755,,true
2111227524,,NSW,NSW,"0",,2025-11-01 00:56:18.182,2025-11-01 01:13:44.953,2,14,523260,,true
2111232816,,NSW,NSW,"0",,2025-11-01 00:57:30.033,2025-11-01 01:04:47.765,2,14,374544,,true
2111238108,,YANGON REGION,YANGON REGION,"0",,2025-11-01 00:57:58.227,2025-11-01 01:16:55.937,2,37,20319685,,false
2111243400,,QLD,QLD,"0",,2025-11-01 00:59:14.516,2025-11-01 02:18:39.160,2,14,1456120,2025-11-01 02:18:39.344,false
2111248692,,CALABARZON,CALABARZON,"0",,2025-11-01 00:59:43.757,2025-11-01 00:59:43.977,2,173,36414847,,false
2111253984,,WA,WA,"0",,2025-11-01 00:59:53.698,2025-11-01 01:00:11.280,2,14,90604641,,false
2111259276,,TAS,TAS,"0",,2025-11-01 01:01:34.883,2025-11-01 01:01:35.214,2,14,4574080,,false
2111264568,,NSW,NSW,"0",,2025-11-01 01:02:00.400,2025-11-01 01:29:15.804,2,14,25341170,2025-11-01 01:29:16.775,false
2111275152,,AB,AB,"0",,2025-11-01 01:03:29.753,2025-11-01 01:16:09.605,2,41,41408430,,false
2111280444,,CANTERBURY REGION,CANTERBURY REGION,"0",,2025-11-01 01:04:56.684,2025-11-01 01:05:30.684,2,157,1315840,,false
2111285736,,QLD,QLD,"0",,2025-11-01 01:05:03.730,2025-11-01 01:07:09.679,2,14,3667889,,false
2111291028,,WA,WA,"0",,2025-11-01 01:05:34.214,2025-11-01 01:12:41.595,2,14,895050,,true
2111312196,,SA,SA,"0",,2025-11-01 01:07:54.092,2025-11-01 01:07:54.155,2,14,10082,,false
2111317488,,QLD,QLD,"0",,2025-11-01 01:08:34.031,2025-11-01 01:12:04.228,2,14,1415556,,true
